example_id                                    | status | run_time        |
--------------------------------------------- | ------ | --------------- |
./spec/models/category_spec.rb[1:1]           | passed | 0.01617 seconds |
./spec/models/category_spec.rb[1:2]           | passed | 0.01463 seconds |
./spec/models/system_requirement_spec.rb[1:1] | passed | 0.01349 seconds |
./spec/models/system_requirement_spec.rb[1:2] | passed | 0.01892 seconds |
./spec/models/system_requirement_spec.rb[1:3] | passed | 0.01432 seconds |
./spec/models/system_requirement_spec.rb[1:4] | passed | 0.01478 seconds |
./spec/models/system_requirement_spec.rb[1:5] | passed | 0.01722 seconds |
./spec/models/system_requirement_spec.rb[1:6] | passed | 0.30409 seconds |
./spec/models/system_requirement_spec.rb[1:7] | passed | 0.01586 seconds |
